"","X.1","X","name","address","type","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","latitude","longitude"
"78",78,87,"Clapping Hands Farm","3348 Alston Chapel Rd","Other","Pittsboro","NC",27312,9029,"Louise","Omoto Kessel","Owner",9195425599,"Camps",721214,NA,NA,NA,NA,"Private","Chatham",12,958000,"clappinghandsfarm.com",2007,"3348 Alston Chapel Rd Pittsboro NC 27312","www.clappinghandsfarm.com",35.709239703487,-79.248921967826
"79",79,89,"Dice Summer Camp Inc","202 Southampton Dr NW","Other","Concord","NC",28027,2201,"Charzette","Brown","Manager",7040001111,"Camps",721214,NA,NA,NA,NA,"Private","Cabarrus",5,524000,"facebook.com/campdiceclt/",2017,"202 Southampton Dr NW Concord NC 28027","www.facebook.com/campdiceclt/",35.430887493644,-80.61300761465
"80",80,90,"Discovery Place","105 Gilead Rd","Other","Huntersville","NC",28078,NA,NA,NA,NA,NA,"Camps",NA,NA,NA,NA,NA,NA,NA,NA,NA,"visit.discoveryplace.org/discoveryplacekidshuntersvillesummercamps/events",NA,"105 Gilead Rd Huntersville NC 28078","www.visit.discoveryplace.org/discoveryplacekidshuntersvillesummercamps/events",35.410731249115,-80.84357363452
"81",81,91,"Don Lee Camp & Retreat Ctr","315 Camp Don Lee Rd","Religoeus","Arapahoe","NC",28510,9688,"John","Farmer","Director",2522491106,"Camps",721214,NA,NA,NA,NA,"Private","Pamlico",60,4761000,"donleecenter.org",1984,"315 Camp Don Lee Rd Arapahoe NC 28510","www.donleecenter.org",34.975858368645,-76.791233282485
"82",82,92,"Duke Soccer Camp","36 Clearwater Dr","Sport","Durham","NC",27707,5365,"Kathy","Rennie","Vice President",9196685734,"Camps",721214,NA,NA,NA,NA,"Private","Durham",2,236000,"dukesoccercamp.com",1991,"36 Clearwater Dr Durham NC 27707","www.dukesoccercamp.com",35.937767724433,-78.96690579992
"83",83,93,"Eagle's Nest Foundation","705 Manly St","Other","Winston Salem","NC",27101,1112,"Noni","Waite","Exec Director",3367611040,"Camps",721214,541720,NA,NA,NA,"Private","Forsyth",3,359000,"enf.org",2021,"705 Manly St Winston Salem NC 27101","www.enf.org",36.101609526786,-80.257896753432
"84",84,94,"East Coast Sailboats Inc","104 Shores Ave","Sport","Point Harbor","NC",27964,9001,"Hardy","Peters","President",2524893491,"Camps",721214,NA,NA,NA,NA,"Private","Currituck",5,765000,"eastcoastsailboats.com",2016,"104 Shores Ave Point Harbor NC 27964","www.eastcoastsailboats.com",36.09345380096,-75.809274398735
"85",85,95,"Falling Creek Camp","816 Falling Creek Camp Rd","Boys","Zirconia","NC",28790,8100,"Yates","Pharr","Owner",8286923874,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",12,3380000,"fallingcreek.com",1969,"816 Falling Creek Camp Rd Zirconia NC 28790","www.fallingcreek.com",35.182836071891,-82.486224957934
"86",86,96,"Falling Creek Camp","4 Vanderbilt Park Dr","Boys","Asheville","NC",28803,1759,"Shelley","Groh","Administrator",8286920262,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",6,2199000,"fallingcreek.com",2018,"4 Vanderbilt Park Dr Asheville NC 28803","www.fallingcreek.com",35.556751493478,-82.541461501993
"87",87,98,"Future Basketball Stars","5400 Old Lake Jeanette Rd","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"5400 Old Lake Jeanette Rd Greensboro NC 27455","www.futurebasketballstarsinc.com",36.143396844131,-79.793357761569
"88",88,99,"Future Basketball Stars","5401 Lawndale Dr","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"5401 Lawndale Dr Greensboro NC 27455","www.futurebasketballstarsinc.com",36.152340310936,-79.835896453947
"89",89,100,"Future Basketball Stars","201 S Chapman St","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"201 S Chapman St Greensboro NC 27455","www.futurebasketballstarsinc.com",36.073185248044,-79.822443733543
"90",90,101,"Future Basketball Stars","2200 N Elm St","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"2200 N Elm St Greensboro NC 27455","www.futurebasketballstarsinc.com",36.102783048297,-79.787857557537
"91",91,103,"Good Times Day Camp LLC","3717 W Vernon Ave","Other","Kinston","NC",28504,3201,"Ray R","Odom","Owner",2520001111,"Camps",721214,NA,NA,NA,NA,"Private","Lenoir",2,306000,"goodtimesdaycamp.org",2015,"3717 W Vernon Ave Kinston NC 28504","www.goodtimesdaycamp.org",35.264177175568,-77.639473389174
"92",92,105,"Harvest Time Bible Camp","744 Missionary Plantation Rd","Religoeus","Ellenboro","NC",28040,6748,"Stephen","Brackeen","Director",8282456681,"Camps",721214,NA,NA,NA,NA,"Private","Rutherford",5,457000,"harvesttimebiblecamp.org",1999,"744 Missionary Plantation Rd Ellenboro NC 28040","www.harvesttimebiblecamp.org",35.459160341948,-81.73809004602
"93",93,106,"Holston Presbytery Camp-Rtrt","6993 Hickory Nut Gap Rd","Religoeus","Banner Elk","NC",28604,5800,"Jim","Austin","Director",8444657866,"Camps",721214,813319,813110,NA,NA,"Private","Avery",4,302000,"holstoncenter.org",1955,"6993 Hickory Nut Gap Rd Banner Elk NC 28604","www.holstoncenter.org",36.139517505292,-81.890587886312
"94",94,107,"Huntersville Family Fitness and Aquatics","11725 Verhoeff Dr","Sport","Huntersville","NC",28078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hffa.com/summer-camps-2/",NA,"11725 Verhoeff Dr Huntersville NC 28078","www.hffa.com/summer-camps-2/",35.391048208221,-80.845494612233
"95",95,108,"John's River Valley Camp","6211 US Highway 90","Religoeus","Collettsville","NC",28611,9055,NA,NA,NA,8287547067,"Camps",721214,NA,NA,NA,NA,"Private","Caldwell",5,271000,"jrvc.org",1936,"6211 US Highway 90 Collettsville NC 28611","www.jrvc.org",36.010733774276,-81.690419325765
"96",96,109,"Kanuga Conferences","130 Kanuga Chapel Dr","Religoeus","Hendersonville","NC",28739,9520,"Michael","Sullivan","President",8286929136,"Camps",721214,519290,813319,813110,NA,"Private","Henderson",175,49279000,"kanuga.org",1928,"130 Kanuga Chapel Dr Hendersonville NC 28739","www.kanuga.org",35.264104388577,-82.516924133549
"97",97,110,"Keystone Camp","101 Keystone Camp Rd","Girls","Brevard","NC",28712,8648,"Megan","Sotirakopulos","Director",8288849125,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",8,1287000,"keystonecamp.com",1916,"101 Keystone Camp Rd Brevard NC 28712","www.keystonecamp.com",35.227964170941,-82.750778183855
"98",98,112,"Merriwood Christian","9640 Center Grove Church Rd","Religoeus","Clemmons","NC",27012,9165,"Terry","Covington","Religious Dir",3367665151,"Camps",721214,813110,NA,NA,NA,"Private","Forsyth",6,718000,NA,1958,"9640 Center Grove Church Rd Clemmons NC 27012","",36.034004032767,-80.435515736957
"99",99,114,"Millstone 4 H Camp","1296 Mallard Dr","Other","Ellerbe","NC",28338,9041,"Erehn","Frye","Director",9106525905,"Camps",721214,813910,NA,NA,NA,"Private","Richmond",22,3366000,"millstone4hcamp.com",1929,"1296 Mallard Dr Ellerbe NC 28338","www.millstone4hcamp.com",35.059357403429,-79.68492718254
"100",100,115,"Monroe Camp & Retreat Ctr","24501 Camp Monroe Rd","Religoeus","Laurel Hill","NC",28351,NA,"Phillip","Shepherd","Facilities",9102761654,"Camps",721214,NA,NA,NA,NA,"Private","Scotland",5,454000,"monroecamp.org",1954,"24501 Camp Monroe Rd Laurel Hill NC 28351","www.monroecamp.org",34.887719603648,-79.485804035262
"101",101,117,"Mountain Top Youth Camp Inc","1460 Mackay Ln","Religoeus","Pinnacle","NC",27043,8504,"Andy","Hilton","Manager",3363513485,"Camps",721214,624110,NA,NA,NA,"Private","Stokes",20,3060000,"mountaintopyouthcamp.org",1964,"1460 Mackay Ln Pinnacle NC 27043","www.mountaintopyouthcamp.org",36.379348108782,-80.378012640799
"102",102,118,"Mt Shepherd Retreat Ctr","1045 Mount Shepherd Road Ext","Religoeus","Asheboro","NC",27205,2844,"Josh","Britton","Exec Director",3366294085,"Camps",721214,813319,813110,999990,NA,"Private","Randolph",2,150000,"mtshepherd.org",2021,"1045 Mount Shepherd Road Ext Asheboro NC 27205","www.mtshepherd.org",35.755828935714,-79.961715353349
"103",103,119,"Mt Zion Baptist Church","950 File St","Religoeus","Winston Salem","NC",27101,3253,"Howard","Shaw","Religious Dir",3367222325,"Camps",721214,611691,813110,999990,NA,"Private","Forsyth",30,3588000,"mtzionthejoy.org",1889,"950 File St Winston Salem NC 27101","www.mtzionthejoy.org",36.106180924813,-80.227859108203
"104",104,120,"NC United Mthdst Camp-Retreat","226 Camp Rockfish Rd","Religoeus","Parkton","NC",28371,8795,NA,NA,NA,9100001111,"Camps",721214,NA,NA,NA,NA,"Private","Robeson",3,918000,"donleecenter.org",2017,"226 Camp Rockfish Rd Parkton NC 28371","www.donleecenter.org",34.950948554454,-79.0514338103
"105",105,121,"NC United Mthdst Camp-Retreat","700 Waterfield Ridge Pl","Religoeus","Garner","NC",27529,3365,NA,NA,NA,9190001111,"Camps",721214,NA,NA,NA,NA,"Private","Wake",3,379000,"ncumcamps.org",2021,"700 Waterfield Ridge Pl Garner NC 27529","www.ncumcamps.org",35.688539516717,-78.562085267331
"106",106,122,"New Hope Camp & Conference Ctr","4805 Nc Highway 86","Religoeus","Chapel Hill","NC",27514,9567,"Maxecine","Mitchell","Operations",9199424716,"Camps",721214,813319,813110,NA,NA,"Private","Orange",8,861000,"newhopeccc.org",2015,"4805 Nc Highway 86 Chapel Hill NC 27514","www.newhopeccc.org",36.011586798247,-79.070054533606
"107",107,123,"New Life Camp","9927 Falls of Neuse Rd","Other","Raleigh","NC",27614,9770,"Greg","Burton","Exec Director",9198470764,"Camps",721214,813110,NA,NA,NA,"Private","Wake",11,1387000,"newlifecamp.com",1950,"9927 Falls of Neuse Rd Raleigh NC 27614","www.newlifecamp.com",35.909398657136,-78.599628955541
"108",108,124,"North Carolina Outward Bound","2582 Riceville Rd","Other","Asheville","NC",28805,9793,"Whitney","Montgomery","CEO",8282993366,"Camps",721214,611620,813319,999990,NA,"Private","Buncombe",6,2199000,"ncobs.org",2021,"2582 Riceville Rd Asheville NC 28805","www.ncobs.org",35.617143381161,-82.454164796893
"109",109,125,"Off the Wall Sports","203 Antilles Ct","Sport","Wilmington","NC",28405,4775,"Janine","Blaisdell","Owner",9103921080,"Camps",721214,711310,NA,NA,NA,"Private","New Hanover",9,2694000,"playoffthewall.com",2012,"203 Antilles Ct Wilmington NC 28405","www.playoffthewall.com",34.262742028535,-77.836252314883
"110",110,126,"Overcomers Kids Camp","2933 S Miami Blvd","Religoeus","Durham","NC",27703,8025,NA,NA,NA,9194229622,"Camps",721214,NA,NA,NA,NA,"Private","Durham",3,353000,"facebook.com/overcomerkids/?locale=de_de&_rdr",2019,"2933 S Miami Blvd Durham NC 27703","www.facebook.com/overcomerkids/?locale=de_de&_rdr",35.927184448013,-78.84513399974
"111",111,127,"Quaker Lake Camp","1503 Nc Highway 62 E","Other","Climax","NC",27233,8209,"Heather","Varner","Exec Director",3366742321,"Camps",721214,813319,NA,NA,NA,"Private","Guilford",5,615000,"quakerlakecamp.org",2004,"1503 Nc Highway 62 E Climax NC 27233","www.quakerlakecamp.org",35.913302034336,-79.695669909149
"112",112,129,"Roanoke Christian Svc Camp","389 Christian Service Camp Rd","Religoeus","Washington","NC",27889,7458,"Chris","Avery","Manager",2529465329,"Camps",721214,721214,NA,NA,NA,"Private","Beaufort",5,398000,"roanokechristiancamp.com",1945,"389 Christian Service Camp Rd Washington NC 27889","www.roanokechristiancamp.com",35.516155497855,-77.00914958042
"113",113,130,"Rock It Learning","10320 Durant Rd # 107","Other","Raleigh","NC",27614,6466,"Chris","Morris","Owner",9198477625,"Camps",721214,NA,NA,NA,NA,"Private","Wake",2,253000,"clubscientific.com",2008,"10320 Durant Rd # 107 Raleigh NC 27614","www.clubscientific.com",35.904063288234,-78.585964860656
"114",114,132,"Science Fun For Everyone","1939 High House Rd","Other","Cary","NC",27519,8452,NA,NA,NA,9194605800,"Camps",721214,NA,NA,NA,NA,"Private","Wake",3,379000,"sciencefun.org",2018,"1939 High House Rd Cary NC 27519","www.sciencefun.org",35.790465451781,-78.849172275323
"115",115,133,"Sea Turtle Camp","530 Causeway Dr","Other","Wrightsville Bch","NC",28480,1959,"Rick","Civelli","Owner",9106864611,"Camps",721214,NA,NA,NA,NA,"Private","New Hanover",3,898000,"seaturtlecamp.com",2018,"530 Causeway Dr Wrightsville Bch NC 28480","www.seaturtlecamp.com",34.210579281527,-77.800171524716
"116",116,134,"South Mountain Baptist Camp","3558 Baptist Camp Rd","Religoeus","Connelly Springs","NC",28612,8259,"Al","Tinnin","Exec Director",8284378788,"Camps",721214,813319,813110,NA,NA,"Private","Burke",30,5082000,"southmountainbaptistcamp.com",1957,"3558 Baptist Camp Rd Connelly Springs NC 28612","www.southmountainbaptistcamp.com",35.609154478983,-81.598092299425
"117",117,135,"South Mountain Christian Camp","1129 S Mountain Rd","Religoeus","Bostic","NC",28018,8599,"Steve","Collins","Exec Director",8282453322,"Camps",721214,813319,999990,NA,NA,"Private","Rutherford",4,366000,"southmountainchristiancamp.org",1973,"1129 S Mountain Rd Bostic NC 28018","www.southmountainchristiancamp.org",35.404086117039,-81.788682328343
"118",118,136,"Spanish For Fun","222 Capcom Ave","Other","Wake Forest","NC",27587,6509,"Lucelia","Rodriguez","Director",9198832061,"Camps",721214,611630,624410,NA,NA,"Private","Wake",11,1387000,"spanishforfun.com",2012,"222 Capcom Ave Wake Forest NC 27587","www.spanishforfun.com",35.949369139377,-78.527724081406
"119",119,137,"Talisman Summer Camps","64 Gap Creek Rd","Other","Zirconia","NC",28790,8791,"Linda","Tatsapaugh","Owner",8286976313,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",65,18304000,"talismancamps.com",1980,"64 Gap Creek Rd Zirconia NC 28790","www.talismancamps.com",35.182857440567,-82.430395000858
"120",120,138,"Trinity Center","618 Salter Path Rd","Religoeus","Pine Knoll Shrs","NC",28512,6004,"John","Koch","Exec Director",2522475600,"Camps",721214,519290,813312,NA,NA,"Private","Carteret",51,11242000,"trinitycenter.wordpress.com",2013,"618 Salter Path Rd Pine Knoll Shrs NC 28512","www.trinitycenter.wordpress.com",34.690566687828,-76.862624980467
"121",121,139,"Truett Conference Ctr & Camp","177 Truett Ln","Religoeus","Hayesville","NC",28904,5827,NA,NA,NA,8283898828,"Camps",721214,NA,NA,NA,NA,"Private","Clay",2,176000,"truettcamp.org",1984,"177 Truett Ln Hayesville NC 28904","www.truettcamp.org",35.038046603149,-83.845089344819
"122",122,141,"United Methodist Camp Tekoa","211 Thomas Rd","Religoeus","Hendersonville","NC",28739,7387,"William","Doyle","Director",8286926516,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",100,28159000,"camptekoa.org",1949,"211 Thomas Rd Hendersonville NC 28739","www.camptekoa.org",35.262690881247,-82.505549632851
"123",123,142,"Vineyard Camp","1945 Vineyard Rd","Other","Westfield","NC",27053,7262,"Dean","Barley","CEO",3363512070,"Camps",721214,722410,813319,NA,NA,"Private","Stokes",5,765000,"vineyardcamp.com",1983,"1945 Vineyard Rd Westfield NC 27053","www.vineyardcamp.com",36.462087320777,-80.355949187625
"124",124,143,"Whisper Mountain Ministries","2240 Long Creek Rd","Religoeus","Robbinsville","NC",28771,8122,"Marty","Paul","Director",8284792993,"Camps",721214,NA,NA,NA,NA,"Private","Graham",5,413000,"whispermountain.org",2003,"2240 Long Creek Rd Robbinsville NC 28771","www.whispermountain.org",35.282309710844,-83.819738205144
"125",125,144,"Wilds","1000 Wilds Ridge Rd","Religoeus","Brevard","NC",28712,7273,"Ken","Collier","President",8288847811,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",350,56275000,"wilds.org",1969,"1000 Wilds Ridge Rd Brevard NC 28712","www.wilds.org",35.088738047573,-82.866129249795
"126",126,146,"YMCA Camp Hanes","1225 Camp Hanes Rd","YMCA","King","NC",27021,7545,"Val","Elliott","Exec Director",3369833131,"Camps",721214,624110,624190,813410,NA,"Private","Stokes",20,3060000,"camphanes.org",1927,"1225 Camp Hanes Rd King NC 27021","www.camphanes.org",36.364315950136,-80.360762699179
"127",127,147,"YMCA Camp Kanata","13524 Camp Kanata Rd","YMCA","Wake Forest","NC",27587,8078,"Richard","Hamilton","Exec Officer",9195562661,"Camps",721214,721211,624110,NA,NA,"Private","Wake",80,10083000,"campkanata.org",1954,"13524 Camp Kanata Rd Wake Forest NC 27587","www.campkanata.org",36.005447560156,-78.56710720668
"128",128,148,"YMCA Camp Kirkwood","2015 Camp Kirkwood Rd","YMCA","Watha","NC",28478,4465,NA,NA,NA,9107269789,"Camps",721214,624110,NA,NA,NA,"Private","Pender",2,243000,"ymcasenc.org",2021,"2015 Camp Kirkwood Rd Watha NC 28478","www.ymcasenc.org",34.633907379434,-77.927883813452
"129",129,149,"YMCA Camp Seafarer","2744 Seafarer Rd","YMCA","Arapahoe","NC",28510,9595,"Mary L","Crook","Exec Director",2522491212,"Camps",721214,624110,NA,NA,NA,"Private","Pamlico",350,27772000,"seagull-seafarer.org",2009,"2744 Seafarer Rd Arapahoe NC 28510","www.seagull-seafarer.org",35.002823984385,-76.857814350569
"130",130,150,"YMCA Camp Watia","5030 Camp Watia Rd","YMCA","Bryson City","NC",28713,NA,NA,NA,NA,8282099600,"Camps",721214,624110,NA,NA,NA,"Private","Swain",5,911000,"ymcacampwatia.org",2022,"5030 Camp Watia Rd Bryson City NC 28713","www.ymcacampwatia.org",35.348382412046,-83.600354823815
"131",131,151,"YMCA Camp Weaver","4924 Tapawingo Trl","YMCA","Greensboro","NC",27406,9072,"Gareth","Clews","Exec Director",3366970525,"Camps",721214,624110,813110,NA,NA,"Private","Guilford",35,4300000,"campweaver.org",2017,"4924 Tapawingo Trl Greensboro NC 27406","www.campweaver.org",36.026325970269,-79.686692030289
"132",132,152,"Youth Camps For Christ","190 Mangum Ln","Religoeus","Littleton","NC",27850,8147,NA,NA,NA,2525864665,"Youth Organizations & Centers",624110,813319,999990,NA,NA,"Private","Warren",10,225000,"campwillowrun.org",2017,"190 Mangum Ln Littleton NC 27850","www.campwillowrun.org",36.492003855158,-77.91433996944
"133",133,153,"Youth Hoops Basketball Camps","60 Tabardry Mill Prt","Sport","Chapel Hill","NC",27516,8424,"John","Berry","President",9190001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Chatham",7,237000,"youthhoops.com",2016,"60 Tabardry Mill Prt Chapel Hill NC 27516","www.youthhoops.com",35.825725770174,-79.106503202917
"134",134,154,"YMCA Blue Ridge Assembly","84 Blue Ridge Cir","YMCA","Black Mountain","NC",28711,9722,"Melissa","Logan","President",8282328978,"Youth Organizations & Centers",624110,721110,721214,519290,624190,"Private","Buncombe",35,2457000,"blueridgeassembly.org",1982,"84 Blue Ridge Cir Black Mountain NC 28711","www.blueridgeassembly.org",35.604711513991,-82.33926726451
"135",135,155,"ÊYMCA CAMP CHEERIO","1430 Camp Cheerio","YMCA","Glade Valley","NC",28627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campcheerio.org",NA,"1430 Camp Cheerio Glade Valley NC 28627","www.campcheerio.org",36.40104910784,-81.016303909857
"136",136,156,"YMCA CAMP HARRISON","7901 S NC Hwy 18","YMCA","Boomer","NC",28606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ymcacharlotte.org/camps/camp-harrison",NA,"7901 S NC Hwy 18 Boomer NC 28606","www.ymcacharlotte.org/camps/camp-harrison",36.041533875636,-81.299226269773
"137",137,158,"YMCA CAMP W. HERMAN WEAVER","4924 Tapawingo Trl","YMCA","Greensboro","NC",27406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campweaver.org",NA,"4924 Tapawingo Trl Greensboro NC 27406","www.campweaver.org",36.026325970269,-79.686692030289
"138",138,9,"Big League Camp","3645 Yancey Rd","Sport","Marion","NC",28752,6573,"Donald","Suttles","Owner",8280001111,"Camps",721214,NA,NA,NA,NA,"Private","McDowell",2,513000,"bigleaguecamp.com",2016,"3645 Yancey Rd Marion NC 28752","www.bigleaguecamp.com",35.7048239630781,-82.01144446265
"139",139,46,"Camp Linn Haven","1308 Linville Falls Hwy","Religoeus","Linville","NC",28646,NA,"Todd","Hefner","Other",8287338885,"Camps",721214,NA,NA,NA,NA,"Private","Avery",5,377000,"camplinnhaven.org",2017,"1308 Linville Falls Hwy Linville NC 28646","www.camplinnhaven.org",36.0529496,-81.8857783942114
"140",140,97,"Future Basketball Stars","Jessup Grove Rd","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"Jessup Grove Rd Greensboro NC 27455","www.futurebasketballstarsinc.com",36.1409886445035,-79.884122434329
"141",141,102,"Future Basketball Stars","2900 Horse Pen Creek Rd","Sport","Greensboro","NC",27455,NA,"Brian","Judski","Director",7165177193,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"futurebasketballstarsinc.com",2019,"2900 Horse Pen Creek Rd Greensboro NC 27455","www.futurebasketballstarsinc.com",36.14622945,-79.86893265
"142",142,111,"Kid's Club House","72 Coats Commercial Dr","Other","Garner","NC",27529,5705,"Mark","Gammon","Owner",9195503262,"Camps",721214,812990,624410,NA,NA,"Private","Johnston",6,613000,"kids-clubhouse.us",2010,"72 Coats Commercial Dr Garner NC 27529","www.kids-clubhouse.us",35.5805205,-78.5473942860469
"143",143,128,"Ridgecrest Summer Camps","290 Yates Ave","Boys","Ridgecrest","NC",28770,NA,"Ron","Springs","Exec Director",8286698051,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",3,1100000,"boys.ridgecrestcamps.com",1984,"290 Yates Ave Ridgecrest NC 28770","www.boys.ridgecrestcamps.com",35.6183945845786,-82.2779796192459
"144",1,8,"Belk Scout Camp","9408 Belt Rd","Other","Nebo","NC",28761,6802,"Mike","Cook","Manager",7043335471,"Camps",721214,NA,NA,NA,NA,"Private","McDowell",2,513000,"mycampgrimes.org/summercamp",1910,"9408 Belt Rd Nebo NC 28761","www.mycampgrimes.org/summercamp",35.205788,-80.554009
"145",2,24,"Camp Crestridge For Girls","105 Balsam Rd","Girls","Black Mountain","NC",28711,8216,NA,NA,NA,8286692613,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",3,1466000,"girls.ridgecrestcamps.com",2015,"105 Balsam Rd Black Mountain NC 28711","www.girls.ridgecrestcamps.com",35.205788,-80.554009
"146",3,55,"Camp Merrie-Woode","100 Merrie Woode Rd","Girls","Sapphire","NC",28774,9621,"Denice","Dunn","Exec Director",8287433300,"Camps",721214,NA,NA,NA,NA,"Private","Jackson",8,1530000,"merriewoode.com",1919,"100 Merrie Woode Rd Sapphire NC 28774","www.merriewoode.com",35.131714,-83.046
"147",4,73,"Camp Sea Gull For Boys","218 Sea Gull Lndg","Boys","Arapahoe","NC",28510,9706,"John","Hyde","Director",2522491111,"Camps",721214,NA,NA,NA,NA,"Private","Pamlico",400,31739000,"seagull-seafarer.org",1948,"218 Sea Gull Lndg Arapahoe NC 28510","www.seagull-seafarer.org",34.972682,-76.805591
"148",5,80,"Camp-Whip-Poor-Will","7123 New Town Rd","Other","Waxhaw","NC",28173,NA,"Betty Ruth","Wilkerson","Other",7048439541,"Camps",721214,NA,NA,NA,NA,"Private","Union",5,491000,"ww16.campwpw.com",1982,"7123 New Town Rd Waxhaw NC 28173","www.ww16.campwpw.com",34.985866,-80.738977
"149",6,81,"Camper Cargo","100 Lake Falls Rd","Girls","Hendersonville","NC",28739,NA,"Billy","Haynes","Owner",8286937782,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",18,5069000,"camptonawandah.com",2001,"100 Lake Falls Rd Hendersonville NC 28739","www.camptonawandah.com",34.985866,-80.73897
"150",8,88,"Connestee Cove Inc","301 Gwynn Valley Trl","Other","Brevard","NC",28712,5598,"Grant","Bullard","President",8288852900,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",150,24118000,"gwynnvalley.com",2015,"301 Gwynn Valley Trl Brevard NC 28712","www.gwynnvalley.com",35.170145,-82.740212
"151",9,104,"Green River Preserve","301 Green River Rd","Other","Cedar Mountain","NC",28718,9053,"Missy","Schenck","Exec Director",8286988828,"Camps",721214,238910,813319,813410,NA,"Private","Transylvania",47,13235000,"greenriverpreserve.org",1988,"301 Green River Rd Cedar Mountain NC 28718","www.greenriverpreserve.org",35.162932,-82.58573
"152",11,116,"Mountain","841 Highway 106","Other","Highlands","NC",28741,NA,NA,NA,NA,8285265838,"Camps",721214,NA,NA,NA,NA,"Private","Macon",2,NA,"themountainrlc.org",2019,"841 Highway 106 Highlands NC 28741","www.themountainrlc.org",35.031281,-83.255956
"153",12,131,"Rockbrook Camp For Girls","368 Castle Rock Drive","Girls","Brevard","NC",28712,NA,"Sarah","Carter","Owner",8288846151,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",200,32157000,"rockbrookcamp.com",1921,"368 Castle Rock Drive Brevard NC 28712","www.rockbrookcamp.com",35.186577,-82.722816
"154",13,140,"TVR Christian Camp & Retreat","216 Tvr Loop Rd","Religoeus","Plumtree","NC",28664,NA,"Greg","Oakley","Exec Director",8287657860,"Camps",721214,NA,NA,NA,NA,"Private","Avery",10,753000,"tvr.org",2004,"216 Tvr Loop Rd Plumtree NC 28664","www.tvr.org",36.020194,-82.006705
"155",14,145,"Wilds Christian Camp","Old Toxaway Rd","Religoeus","Brevard","NC",28712,NA,"Ken","Collier","President",8288847811,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",44,7075000,"wilds.org",2012,"Old Toxaway Rd Brevard NC 28712","www.wilds.org",35.085785,-82.870598
"156",15,157,"YMCA CAMP SEAGULL","218 Sea Gull Landing","YMCA","Arapahoe","NC",28510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seagull-seafarer.org",NA,"218 Sea Gull Landing Arapahoe NC 28510","www.seagull-seafarer.org",34.97461,-76.801022
